Comp,Sydney National Championships - Final,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,6th April 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATHLETE:,Sarah Ringrose,,,,,,,,,,,,,,PB,,,,,,,,,,,,,
,Round,1,,2,,3,,4,,5,,6,,,,,,,,,,,,,,,,
,,48.64,,52.4,,49.71,,48.4,,51.76,,49.77,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data entry,,,,,,,,,,,,,,,PB,,,,,,,,,,,,,
Turn 1,R Off,31.4,,13.64,,14.86,,36.12,,12.88,,36.72,,,,,,,,,,,,,,,,
,R On,31.84,,14.04,,15.26,,36.5,,13.24,,37.08,,,,,,,,,,,,,,,,
,L Toe up (confirm on report),32.11,,14.28,,15.5,,36.74,,13.46,,37.34,,,,,,,,,,,,,,,,
Turn 2,R Off,32.25,,14.42,,15.64,,36.88,,13.6,,37.48,,,,,,,,,,,,,,,,
,R On,32.56,,14.72,,15.94,,37.16,,13.9,,37.76,,,,,,,,,,,,,,,,
,L Toe Up,32.75,,14.9,,16.14,,37.4,,14.1,,37.94,,,,,,,,,,,,,,,,
Turn 3,R Off,32.88,,15.07,,16.28,,37.58,,14.26,,38.15,,,,,,,,,,,,,,,,
,R On,33.18,,15.32,,16.56,,37.84,,14.5,,38.4,,,,,,,,,,,,,,,,
,L Toe Up,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Release,33.52,,15.63,,16.87,,38.16,,14.8,,38.69,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,x,y,x,y,x,y,x,y,x,y,x,y,,x,y,,,,,,,,,,,,
Hammer coordinates,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,In hand,854,576,878,547,860,597,819,531,853,537,793,574,,,,,,,,,,,,,,,
Release,Out of hand 1,,,,,,,868,567,,,845,612,,,,,,,,,,,,,,,
Release + 1,Out of hand 2,957,649,987,623,966,673,,,960,615,895,650,,,,,,,Calibration,,,,,,,,
,Out of hand 3,1008,686,1043,660,1019,711,973,643,1013,653,,,,,,,,,,Dimensions of pole used (m),,,,,,,
,,1060,721,1100,699,1073,751,1024,680,1066,691,,,,,,,,,,x,2.07,,horizontal length,,,,
,,,,,,,,,,,,,,,,,,,,,y,1.525,,height,,,,
,,34.2,34.2,32.3,32.3,34.9,34.9,35.9,35.9,32.8,32.8,35.9,35.9,,#DIV/0!,#DIV/0!,,,,,,,,,,,,
,,Angle of Release,Angle of Attack,Angle of Release,Angle of Attack,Angle of Release,Angle of Attack,Angle of Release,Angle of Attack,Angle of Release,Angle of Attack,Angle of Release,Angle of Attack,,Angle of Release,Angle of Attack,,,,,For 4 point Cal,,,,,,,
,Angle of Release,36,-1.7,33.5,-1.1,35.6,-0.7,36,-0.1,35.6,-2.8,37.2,-1.3,,#DIV/0!,#DIV/0!,,,,Pt 1,808,31,Front of circle - ground,,,,,
,,,,,,,,,,,,,,,,,,,,Pt 2,811,451,Front of circle - 1.8m,,,,,scale factor
,,x diff,y diff,x diff,y diff,x diff,y diff,x diff,y diff,x diff,y diff,x diff,y diff,,x diff,y diff,,,,Pt 3,249,451,Back of circle -1.8m,,,x,562,0.003683
,,51,649,56,623,53,597,51,36,53,615,50,38,,0,0,,,,Pt 4,246,33,Back of circle - ground,,,y,420,0.003631
,,0.19,2.36,0.21,2.26,0.2,2.17,0.19,0.13,0.2,2.23,0.18,0.14,,0,0,,,,,-36.8,,,,,36.8,,
,Velocity,18.78,235.65,20.63,226.21,19.52,216.77,18.78,13.07,19.52,223.3,18.42,13.8,,0,0,,,,,Scale angle to horizontal,,,,,actual ground,,*used for Height of Release calc.
,,,,,,,,,,,,,,,,,,,,Coversion if sampling frequency not picked up correctly.,,,,,,horizontal,vertical,
,Height of Release,0.112559524,,0.112559524,,0.112559524,,-1.946190476,,0.112559524,,-2.109583333,,,0.112559524,,,,,,,Sampling rate,,,,x,y,
,,,,,,,,,,,,,,,,,,,,fps,100,0.01,,,,808,31,
,,23.20754938,,24.72187622,,24.02048219,,23.20754938,,24.02048219,,23.13143006,,,,,,,Swinger assumes (fps),,50,0.02,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,conversion required,,1,*only used if conversion issue otherwise change,,,,
,,,,,,,,,,,,,,,,,,,,,,,, to 1 to avoid temporal data being adjusted,,,,
Calculated duration of interval from Right Foot Plant to Left Toe Up (or Heel Down - if so alter on front page) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turn 1,,0.27,,0.24,,0.24,,0.24,,0.22,,0.26,,,0,,,,,,,,,,,,,
Turn 2,,0.19,,0.18,,0.2,,0.24,,0.2,,0.18,,,0,,,,,,,,,,,,,
Turn 3,,0.34,,0.31,,0.31,,0.32,,0.3,,0.29,,,0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calculated times for single and double support phases and as a percentage of total throw time included in report,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turn 1,Single (s),0.44,,0.4,,0.4,,0.38,,0.36,,0.36,,,0,,,,,,,,,,,,,
,Double (s),0.41,,0.38,,0.38,,0.38,,0.36,,0.4,,,0,,,,,,,,,,,,,
Turn 2,Single (s),0.31,,0.3,,0.3,,0.28,,0.3,,0.28,,,0,,,,,,,,,,,,,
,Double (s),0.32,,0.35,,0.34,,0.42,,0.36,,0.39,,,0,,,,,,,,,,,,,
Turn 3,Single (s),0.3,,0.25,,0.28,,0.26,,0.24,,0.25,,,0,,,,,,,,,,,,,
,Double (s),0.34,,0.31,,0.31,,0.32,,0.3,,0.29,,,#REF!,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calculated throw time and time for each turn (and as percentage of total throw time on report),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turn 1,,0.85,,0.78,,0.78,,0.76,,0.72,,0.76,,,0,,,,,,,,,,,,,
Turn 2,,0.63,,0.65,,0.64,,0.7,,0.66,,0.67,,,0,,,,,,,,,,,,,
Turn 3,,0.64,,0.56,,0.59,,0.58,,0.54,,0.54,,,#REF!,,,,,,,,,,,,,
Total throw time,,2.12,,1.99,,2.01,,2.04,,1.92,,1.97,,,#REF!,,,,,,,,,,,,,
